Mineral,Unit,All India/State,Reserves,Remaining Resources,Total Resources,,States,Total Resources(000'tonnes),Statewise,Mineralwise
Andalusite,000’ tonnes,All India,0,28201,28201,,Andhra Pradesh,5287.79969,0,28201
Andalusite,000’ tonnes,Jharkhand,0,4001,4001,,Arunachal Pradesh,15732,6771702.271,28201
Andalusite,000’ tonnes,Uttar Pradesh,0,24200,24200,,Assam,52710,1449058.444,28201
Antimony ore,000’ tonnes,All India,0,10588,10.588,,Bihar,82660.73049,0,10.588
Antimony metal,000’ tonnes,All India,0,174,0.174,,Chhattisgarh,128670,0,0.174
Antimony ore,000’ tonnes,Himachal Pradesh,0,10588,10.588,,Daman & Diu,163928.4086,6243062.762,10.588
Antimony metal,000’ tonnes,Himachal Pradesh,0,174,0.174,,Goa,458635.4531,6243062.762,0.174
Apatite,000’ tonnes,All India,29395,24016082,24045.477,,Gujarat,555564.277,0,24045.477
Apatite,000’ tonnes,Andhra Pradesh,29395,200163,229.558,,Haryana,1449058.444,27501527.37,24045.477
Apatite,000’ tonnes,Gujarat,0,351000,351,,Himachal Pradesh,1500930.7,21789656.48,24045.477
Apatite,000’ tonnes,Jharkhand,0,7270000,7270,,Jammu & Kashmir,1545233,6771702.271,24045.477
Apatite,000’ tonnes,Meghalaya,0,1300000,1300,,Jharkhand,1772695,17716412.36,24045.477
Apatite,000’ tonnes,Rajasthan,0,1067521,1067.521,,Karnataka,1812760.711,47856541.45,24045.477
Apatite,000’ tonnes,Tamil Nadu,0,240000,240,,Kerala,2411906.415,2412081.635,24045.477
Apatite,000’ tonnes,West Bengal,0,13587398,13587.398,,Madhya Pradesh,2676359.648,82660.73049,24045.477
Asbestos,000’ tonnes,All India,24633,22922751,22947.384,,Maharashtra,2712512.555,0,22947.384
Asbestos,000’ tonnes,Andhra Pradesh,24633,812679,837.312,,Manipur,3414151.95,27501527.37,22947.384
Asbestos,000’ tonnes,Jharkhand,0,154893,154.893,,Meghalaya,6243062.762,6771702.271,22947.384
Asbestos,000’ tonnes,Karnataka,0,8282457,8282.457,,Nagaland,6771702.271,65117874.93,22947.384
Asbestos,000’ tonnes,Odisha,0,56700,56.7,,Odisha,11494004.87,12554496.83,22947.384
Asbestos,000’ tonnes,Rajasthan,0,13615710,13615.71,,Puducherry,12554496.83,47856541.45,22947.384
Asbestos,000’ tonnes,Uttarakhand,0,311,0.311,,Rajasthan,15883604.19,1812760.711,22947.384
Bauxite,000’ tonnes,All India,656422,3240442,3896864,,Sikkim,17363389.77,0,3896864
Bauxite,000’ tonnes,Andhra Pradesh,0,615267,615267,,Tamil Nadu,17716412.36,27501527.37,3896864
Bauxite,000’ tonnes,Bihar,0,4114,4114,,Telangana,21789656.48,2676359.648,3896864
Bauxite,000’ tonnes,Chhattisgarh,15068,158687,173755,,Uttar Pradesh,27501527.37,15883604.19,3896864
Bauxite,000’ tonnes,Goa,13564,41603,55168,,Uttarakhand,47856541.45,1545233,3896864
Bauxite,000’ tonnes,Gujarat,185234,165347,350581,,West Bengal,65117874.93,21789656.48,3896864
Bauxite,000’ tonnes,Jammu & Kashmir,0,2725,2725,,,,2712512.555,3896864
Bauxite,000’ tonnes,Jharkhand,62740,176321,239061,,,,6771702.271,3896864
Bauxite,000’ tonnes,Karnataka,4389,41246,45635,,,,65117874.93,3896864
Bauxite,000’ tonnes,Kerala,0,14096,14096,,,,458635.4531,3896864
Bauxite,000’ tonnes,Madhya Pradesh,23591,149797,173388,,,,11494004.87,3896864
Bauxite,000’ tonnes,Maharashtra,26188,158386,184574,,,,3414151.95,3896864
Bauxite,000’ tonnes,Odisha,325269,1669305,1994574,,,,12554496.83,3896864
Bauxite,000’ tonnes,Rajasthan,0,528,528,,,,47856541.45,3896864
Bauxite,000’ tonnes,Tamil Nadu,379,24112,24491,,,,2412081.635,3896864
Bauxite,000’ tonnes,Uttar Pradesh,0,18908,18908,,,,1449058.444,3896864
Borax,000’ tonnes,All India,0,74204,74,,,,0,74
Borax,000’ tonnes,Jammu & Kashmir,0,74204,74,,,,2712512.555,74
Chromite,000’ tonnes,All India,102210,241805,344015,,,,0,344015
Chromite,000’ tonnes,Andhra Pradesh,0,NA,NA,,,,27501527.37,344015
Chromite,000’ tonnes,Jharkhand,0,736,736,,,,6771702.271,344015
Chromite,000’ tonnes,Karnataka,727,905,1631,,,,65117874.93,344015
Chromite,000’ tonnes,Maharashtra,71,538,609,,,,3414151.95,344015
Chromite,000’ tonnes,Manipur,0,6657,6657,,,,52710,344015
Chromite,000’ tonnes,Nagaland,0,3200,3200,,,,1772695,344015
Chromite,000’ tonnes,Odisha,101412,229301,330714,,,,12554496.83,344015
Chromite,000’ tonnes,Tamil Nadu,0,282,282,,,,2412081.635,344015
Chromite,000’ tonnes,Telangana,0,186,186,,,,17363389.77,344015
Cobalt,000’ tonnes,All India,0,45,45000,,,,0,45000
Cobalt,000’ tonnes,Jharkhand,0,9,9000,,,,6771702.271,45000
Cobalt,000’ tonnes,Nagaland,0,5,5000,,,,1772695,45000
Cobalt,000’ tonnes,Odisha,0,31,31000,,,,12554496.83,45000
Copper ore,000’ tonnes,All India,207767,1303730,1511498,,,,0,1511498
Copper metal,000’ tonnes,All India,2734.62,9423.53,12158.15,,,,0,12158.15
Copper ore,000’ tonnes,Andhra Pradesh,0,7582,7582,,,,27501527.37,1511498
Copper metal,000’ tonnes,Andhra Pradesh,0,113.7,113.7,,,,27501527.37,12158.15
Copper ore,000’ tonnes,Arunachal Pradesh,0,10,10,,,,555564.277,1511498
Copper metal,000’ tonnes,Arunachal Pradesh,0,0.02,0.02,,,,555564.277,12158.15
Copper ore,000’ tonnes,Gujarat,0,14120,14120,,,,21789656.48,1511498
Copper metal,000’ tonnes,Gujarat,0,209.96,209.96,,,,21789656.48,12158.15
Copper ore,000’ tonnes,Haryana,0,32908,32908,,,,163928.4086,1511498
Copper metal,000’ tonnes,Haryana,0,113.62,113.62,,,,163928.4086,12158.15
Copper ore,000’ tonnes,Jharkhand,7314,288074,295389,,,,6771702.271,1511498
Copper metal,000’ tonnes,Jharkhand,81.87,3193.53,3275.4,,,,6771702.271,12158.15
Copper ore,000’ tonnes,Karnataka,872,33793,34665,,,,65117874.93,1511498
Copper metal,000’ tonnes,Karnataka,7.71,221.79,229.5,,,,65117874.93,12158.15
Copper ore,000’ tonnes,Madhya Pradesh,154530,128899,283429,,,,11494004.87,1511498
Copper metal,000’ tonnes,Madhya Pradesh,2036.37,1382.13,3418.5,,,,11494004.87,12158.15
Copper ore,000’ tonnes,Maharashtra,0,14390,14390,,,,3414151.95,1511498
Copper metal,000’ tonnes,Maharashtra,0,137.67,137.67,,,,3414151.95,12158.15
Copper ore,000’ tonnes,Meghalaya,0,880,880,,,,17716412.36,1511498
Copper metal,000’ tonnes,Meghalaya,0,9,9,,,,17716412.36,12158.15
Copper ore,000’ tonnes,Nagaland,0,2000,2000,,,,1772695,1511498
Copper metal,000’ tonnes,Nagaland,0,15,15,,,,1772695,12158.15
Copper ore,000’ tonnes,Odisha,0,6051,6051,,,,12554496.83,1511498
Copper metal,000’ tonnes,Odisha,0,63.44,63.44,,,,12554496.83,12158.15
Copper ore,000’ tonnes,Rajasthan,45051,768276,813327,,,,47856541.45,1511498
Copper metal,000’ tonnes,Rajasthan,608.67,3867.14,4475.81,,,,47856541.45,12158.15
Copper ore,000’ tonnes,Sikkim,0,958,958,,,,5287.79969,1511498
Copper metal,000’ tonnes,Sikkim,0,21.47,21.47,,,,5287.79969,12158.15
Copper ore,000’ tonnes,Tamil Nadu,0,790,790,,,,2412081.635,1511498
Copper metal,000’ tonnes,Tamil Nadu,0,3.81,3.81,,,,2412081.635,12158.15
Copper ore,000’ tonnes,Telangana,0,666,666,,,,17363389.77,1511498
Copper metal,000’ tonnes,Telangana,0,9.12,9.12,,,,17363389.77,12158.15
Copper ore,000’ tonnes,Uttarakhand,0,4220,4220,,,,1812760.711,1511498
Copper metal,000’ tonnes,Uttarakhand,0,60.04,60.04,,,,1812760.711,12158.15
Copper ore,000’ tonnes,West Bengal,0,113,113,,,,82660.73049,1511498
Copper metal,000’ tonnes,West Bengal,0,2.09,2.09,,,,82660.73049,12158.15
Diamond,000’ tonnes,All India,959659,30876432,6.37,,,,0,6.37
Diamond,000’ tonnes,Andhra Pradesh,0,1822955,0.36,,,,27501527.37,6.37
Diamond,000’ tonnes,Chhattisgarh,0,1304000,0.26,,,,15883604.19,6.37
Diamond,000’ tonnes,Madhya Pradesh,959659,27749477,5.74,,,,11494004.87,6.37
Diatomite,000’ tonnes,All India,0,2885,2885,,,,0,2885
Diatomite,000’ tonnes,Gujarat,0,811,811,,,,21789656.48,2885
Diatomite,000’ tonnes,Rajasthan,0,2074,2074,,,,47856541.45,2885
Emarald,000’ tonnes,All India,0,55869,0.06,,,,0,0.06
Emarald,000’ tonnes,Jharkhand,0,55869,0.06,,,,6771702.271,0.06
Fluorite,000’ tonnes,All India,288684,17893423,18182.107,,,,0,18182.107
Fluorite,000’ tonnes,Chhattisgarh,0,545455,545.455,,,,15883604.19,18182.107
Fluorite,000’ tonnes,Gujarat,0,12004510,12004.51,,,,21789656.48,18182.107
Fluorite,000’ tonnes,Maharashtra,288684,100000,388.684,,,,3414151.95,18182.107
Fluorite,000’ tonnes,Rajasthan,0,5243458,5243.458,,,,47856541.45,18182.107
Garnet,000’ tonnes,All India,12783856,43377166,56161.022,,,,0,56161.022
Garnet,000’ tonnes,Andhra Pradesh,1757148,15509981,17267.129,,,,27501527.37,56161.022
Garnet,000’ tonnes,Chhattisgarh,0,28800,28.8,,,,15883604.19,56161.022
Garnet,000’ tonnes,Jharkhand,0,110071,110.071,,,,6771702.271,56161.022
